Series Title,Episode Title,Episode Runtime,Season #,"Episode #, Year"
11.22.63,The Rabbit Hole,43,1,1,2016
11.22.63,The Kill Floor,43,1,2,2016
11.22.63,"Other Voices, Other Rooms",43,1,3,2016
11.22.63,The Eyes of Texas,43,1,4,2016
11.22.63,The Truth,43,1,5,2016
11.22.63,"Happy Birthday, Lee Harvey Oswald",43,1,6,2016
11.22.63,Soldier Boy,43,1,7,2016
11.22.63,The Day in Question,43,1,8,2016
12 Monkeys,Pilot,60,1,1,2015
12 Monkeys,Mentally Divergent,44,1,2,2015
12 Monkeys,Cassandra Complex,43,1,3,2015
12 Monkeys,Atari,43,1,4,2015
12 Monkeys,The Night Room,43,1,5,2015
12 Monkeys,The Red Forest,60,1,6,2015
12 Monkeys,The Keys,44,1,7,2015
12 Monkeys,Yesterday,43,1,8,2015
12 Monkeys,Tomorrow,44,1,9,2015
12 Monkeys,Divine Move,44,1,10,2015
12 Monkeys,Shonin,43,1,11,2015
12 Monkeys,Paradox,43,1,12,2015
12 Monkeys,Arms of Mine,43,1,13,2015
12 Monkeys,Year of the Monkey,42,2,1,2016
12 Monkeys,Primary,43,2,2,2016
12 Monkeys,One Hundred Years,43,2,3,2016
12 Monkeys,Emergence,42,2,4,2016
12 Monkeys,Bodies of Water,43,2,5,2016
12 Monkeys,Immortal,41,2,6,2016
12 Monkeys,Meltdown,43,2,7,2016
12 Monkeys,Lullaby,43,2,8,2016
12 Monkeys,Hyena,43,2,9,2016
12 Monkeys,Fatherland,43,2,10,2016
12 Monkeys,Resurrection,43,2,11,2016
12 Monkeys,Blood Washed Away,43,2,12,2016
12 Monkeys,Memory of Tomorrow,43,2,13,2016
12 Monkeys,Mother,43,3,1,2017
12 Monkeys,Guardians,43,3,2,2017
12 Monkeys,Enemy,43,3,3,2017
12 Monkeys,Brothers,43,3,4,2017
12 Monkeys,Causality,44,3,5,2017
12 Monkeys,Nature,43,3,6,2017
Series Title,Episode Title,Episode Runtime,Season #,"Episode #, Year"
Series Title,Episode Title,Episode Runtime,Season #,"Episode #, Year"
